college_code,college_name,city,status,layout,bed_type,bathroom,air_conditioner,campus_env,confidence,evidence_count,first_source,unresolved
0019,浙大宁波理工学院,宁波,partial,一期套间为3个4人寝+1个2人寝；二期为4/5人寝；三期为4人寝,未知,部分楼栋独卫（一期套间有独卫、二期无独卫、三期有独卫）,有,位于宁波市南高教园区（钱湖南路1号），占地1122.9亩、总建筑面积38.7万平方米，有各类教学科研实验室180个，藏书175万余册。,medium,3,https://www.gk100.com/question_264777396.htm,床型（上床下桌/上下铺）来源未写明；宿舍描述来自2024年高考资讯站答复，需以最新新生入学须知为准；一期/二期/三期楼栋与专业、年级的对应关系未核实；研究生与国际生宿舍未覆盖
0020,杭州师范大学,杭州,found,六人间、四人间,大部分为上床下桌组合式家具,独立卫浴（各公寓均自带独立卫生间）,有（可自行租赁）,现有仓前（2388亩）、下沙（876亩）、玉皇山（102亩）三个校区，机构地址为余杭区仓前街道余杭塘路2318号。,medium,3,https://www.dxsbb.com/news/17094.html,宿舍信息未区分仓前/下沙/玉皇山校区，各校区宿舍条件可能不同；宿舍页面更新于2024-01-14，非学校最新公布口径；研究生、留学生与独立学院（钱江学院）宿舍未覆盖
0021,湖州师范学院,湖州,found,四人间,上床下桌,独立卫浴（有独卫、独浴）,有,现占地1665亩，校舍总面积38万平方米，绿化面积22万平方米，现有东、中、西三个校区。,medium,2,https://www.dxsbb.com/news/17096.html,校园规模数据转载自旧版学校简介（正文含2008年就业率、2010年规划等表述），时效性存疑；学校官方域名 www.zjhu.edu.cn 与 zjhu.edu.cn 均无法解析/访问；宿舍条件页面更新于2023-11-22，且未区分东/中/西校区；学校已更名为湖州师范大学，更名后官网口径未核实
0022,绍兴文理学院,绍兴,partial,4—6人间,未知,未知,有,坐落于历史文化名城绍兴，拥有本部（河东、河西、南山）、兰亭、上虞、宋六陵等校区，占地面积2493.71亩，总建筑面积76.33万平方米。,medium,2,https://www.dxsbb.com/news/17097.html,是否为独立卫浴，来源仅写“卫生设施等一应俱全”，未明确；床型（上床下桌/上下铺）未查到；各校区、各书院宿舍条件差异未覆盖；校名变更：官方页面标题为“绍兴大学”，正文仍称绍兴文理学院，CSV 采用更名前名称
0023,台州学院,台州,found,椒江校区均为四人间；临海校区含四人小寝大套间、四人标准间等,椒江校区与临海13-17号楼为上床下桌；临海8、9、12号楼为上下铺,部分楼栋独卫（椒江校区及临海13-17号楼有独立卫浴，临海大套间为公共卫生间）,有（临海校区部分需租赁）,分椒江、临海两地办学，总占地面积近1720亩、建筑面积约65万平方米；椒江校区以工、理、经、管、医、艺为主，临海校区以文、史、法、教育为主。,medium,4,https://www.dxsbb.com/news/17099.html,临海校区各楼栋床型/卫浴差异较大，未逐栋核实，且新生分配到哪栋楼未知；空调租赁的具体范围与费用未确认；广文校区宿舍情况未覆盖；宿舍页面更新于2023-10-23
0024,温州大学,温州,partial,6人寝室、4人寝室，另有10人套房、14人套房,未知（来源仅称每人配高位床，规格约1980*820mm）,独立卫浴（每间寝室有独立卫生间、浴室）,有（需租赁使用）,主校区坐落在温州茶山，与大罗山相接，环境比较优美（源自网友评价）；学校为浙南闽北赣东区域唯一的综合性大学。,medium,3,https://www.dxsbb.com/news/17180.html,校园环境描述来自网友评价（非官方），且未注明发布时间；床型（上床下桌/上下铺）来源未明确；A—E各生活区宿舍条件差异未逐区核实；学校官网 www.wzu.edu.cn 多次抓取失败；宿舍页面更新于2024-01-28
0025,浙江外国语学院,杭州,partial,未知,未知,独立卫生间（另有盥洗室）,未知,位于杭州市小和山高教园区留和路299号；院校库记载占地面积556亩。,low,3,https://www.dxsbb.com/news/17397.html,未查到几人间与床型；是否有空调未查到（宿舍页面标题提及空调，但正文未写明）；校园环境（景观、位置评价）除地址与占地面积外无来源支撑；官方来源未取到：www.zisu.edu.cn/xxgk/xxjj.htm 返回 404，仅 zs.zisu.edu.cn 招生网存在
0027,浙江传媒学院,杭州,found,四人间（桐乡10号楼另有三人间）,分楼栋不同：下沙S楼、L楼及桐乡1-9、11号楼为上下铺（一边床一边桌），下沙1号楼与12-21号楼、桐乡10号楼为上床下桌,独立卫浴（仅下沙1、13、14号楼无独立阳台，卫浴仍为独立）,有,拥有杭州钱塘和桐乡乌镇两个校区，占地1355.14亩；设有18个学院及教学单位，本科在校生13300余人。,medium,3,https://www.gk100.com/question_264777388.htm,床型与楼栋差异明显，具体入住哪栋取决于专业与年级，来源未给出分配规则；空调是否需租赁未说明；研究生宿舍未覆盖；宿舍描述来自2024年高考资讯站答复，非学校最新公布口径
0028,宁波工程学院,宁波,partial,东校区6人间；杭州湾校区4人间,未知,独立卫生间,有,占地面积1800亩，设有风华校区、翠柏校区和前湾校区；校址为宁波市江北区风华路201号，在校全日制本科生18000余人。,medium,3,https://m.gk100.com/daxueku/sushe_689.htm,床型（上床下桌/上下铺）未查到；宿舍来源所称“东校区”“杭州湾校区”与官方“风华/翠柏/前湾”校区命名如何对应，未核实；翠柏校区、前湾校区宿舍条件未覆盖；宿舍来源未注明更新时间
0030,浙江水利水电学院,杭州,found,钱塘校区 4人间/6人间；南浔校区 4人间（多层区）/2人间（小高层区）,南浔校区四人寝为上床下桌；其余未知,钱塘校区独立卫浴；南浔校区四人寝为公共卫浴、二人寝为五室一厅二卫（干湿分离）,钱塘校区有；南浔校区来源未明确提及,拥有杭州钱塘、湖州南浔两校区。南浔校区在湖州南浔旅游度假区联谊路68号，临水而建，图书馆形似“巨型智慧水立方”，可容纳师生1.5万人；2025级四年制本科新生均在浔校区就读。,high,5,https://www.eol.cn/zhejiang/zhejiang_news/202505/t20250515_2668504.shtml,南浔校区的空调配置来源未明确写明（只提到热水、门禁、USB插口与网口）；南浔校区二人寝/四人寝以外的楼栋（如是否有6人间）未覆盖；CSV登记的city为杭州，但学校实际有杭州钱塘与湖州南浔两个校区，本科生住宿校区可能逐年调整（2025级四年制本科在南浔校区）；两个来源均为聚合站（中国教育在线、大学生必备网），未取得学校官方原文
0036,杭州医学院,杭州,partial,4人间和6人间（四人寝较少）,未知,独立卫浴（每个寝室内设独立卫生间和淋浴间）,有（来源同时称“根据自身需要租用空调”）,招生网列明临安、滨江、黄龙三校区及青山湖科创中心地址；官网“生活环境（临安）”专栏仅以图片展示临安校区生活环境，无文字描述可引用。,medium,4,https://m.gk100.com/read_321252173.htm,宿舍来源未标明具体校区，无法确认是临安校区还是滨江/黄龙校区；官方“生活环境（临安）”页面正文只有图片，无文字，无法据此核实宿舍条件；空调表述在同一来源内不完全一致（设备清单称“空调”，后文称“根据自身需要租用空调”）；床型（上床下桌或上下铺）未查到；住宿费标准未查到
0038,丽水学院,丽水,partial,4人间/5人间/6人间（按楼栋不同）,未知,部分楼栋独卫（六人寝、四人寝、五人寝均分公卫与独卫两种）,未知,官网称学校为公办全日制高校，坐落于“中国生态第一市”丽水市；现有莲都、松阳2个校区，占地1661.3亩、校舍50.4万平方米，图书馆纸质图书174万册；地址为丽水市莲都区学院路1号。,medium,4,https://www.gk100.com/read_307317034.htm,未查到空调配置（来源只提网络与住宿费分档）；未查到床型（上床下桌/上下铺）；宿舍来源未说明哪些楼栋为公卫/独卫、属哪个校区；松阳县校区宿舍未覆盖；两个校区在官方来源中只按所在地表述，正式校区名称未给出；住宿费来源为2023年8月数据，可能已调整
0041,浙江艺术职业学院,杭州,partial,6人间（新生统一入住），少数随机安排4人间,未知,未知,未知,来源称学校位于杭州市钱塘江南岸滨江高教园区，为国办全日制综合性高等艺术职业院校，有60余年办学史。未采集到占地面积、景观等进一步描述。,low,2,https://m.dxsbb.com/news/92684.html,未查到空调、卫浴（独立/公共）与床型；校区数量与正式校区名称未核实，来源仅称“位于杭州滨江高教园区”；唯一来源为聚合站（大学生必备网，页面更新于2024-01-15），未取得学校官方原文；未查到住宿费标准之外的生活配套（洗衣、热水、网络等）
0042,浙江交通职业技术学院,杭州,found,每间最多入住6人（6人间）,未知,独立卫浴（来源称室内配有卫生间）,有,现有杭州、长兴两个校区：杭州校区占地约592.75亩，长兴校区现占地约334.5亩（二期预留163.4亩）；在校学生12000余人；杭州校区地址为杭州市古墩路1516号。,medium,3,https://gaokao.eol.cn/yxdt/202305/t20230510_2403506.shtml,宿舍来源未指明具体校区（杭州校区与长兴校区条件可能不同）；未查到床型（上床下桌/上下铺）与住宿费标准；宿舍信息为2023年聚合站转载，未取得学校官方原文；长兴校区宿舍条件未覆盖
0043,浙江工商职业技术学院,宁波,found,5-6人间（标准化寝室）,未知（来源称配独立电脑桌、椅及个人衣柜）,未知（来源仅称“卫生洗浴间…齐全”，未说明是否独立）,有,有海曙（主校区，宁波海曙中心城区）、宁海、慈溪三个校区；校内足球、篮球、羽毛球馆场地充足，另有100米标准泳池、七个餐厅；生活区设阅读吧、多功能研讨室等；地址宁波市机场路1988号。,medium,4,https://www.eol.cn/zhejiang//zhejiang_gkkx/202507/t20250725_2683070.shtml,卫浴是否独立（独卫/公共浴室）未明确；两个来源的宿舍描述不完全重合：dxsbb来源只提风扇/空调/饮水器并出现“北区宿舍/南区宿舍”，未提人数与热水器；宿舍来源未指明具体校区（海曙/宁海/慈溪），各校区条件可能不同；床型（上床下桌/上下铺）与住宿费标准未查到
0044,浙江工贸职业技术学院,温州,found,未知（来源未写每间人数）,上床下桌（瓯江口校区及府东路校区女寝DE、F1F2）；府东路校区男寝ABC为长条形长桌,独立卫浴（两校区均为独卫独浴）,有,设瓯江口、府东路两校区。瓯江口有海川楼、知辛楼食堂；府东路有一号（AB栋寝楼下）、二号（停车场旁）、三号（体育馆一二楼）食堂，含快餐、香锅、麻辣烫等。未采集到占地与景观信息。,medium,4,https://m.dxsbb.com/news/92679.html,宿舍每间人数（几人间）来源未写明；住宿费标准、床铺尺寸等未查到；仅一个聚合站来源（大学生必备网，页面更新于2023-11-25），未取得学校官方原文；校园占地面积、图书馆等校园环境信息未采集到
0045,浙江机电职业技术大学,杭州,found,滨江校区6人间；海宁校区4人间,未知,独立卫浴（海宁西区新校区为干湿分离独立卫浴；滨江校区配独立卫生间）,有,官网列明滨江校区（杭州滨江高教园滨文路528号）与海宁校区（海宁长安镇青年路999号）；海宁校区西区2026年9月启用，占地230亩、建筑面积约8.9万平方米，橙白楼宇，设露天篮球场、羽毛球场等。,high,4,https://gaokao.eol.cn/yxdt/202305/t20230510_2403510.shtml,寝室内床型（上床下桌/上下铺）未查到；滨江校区住宿费具体金额未查到；海宁校区西区为2026年9月新启用楼栋，其余楼栋与老区宿舍情况未覆盖；该校已由“浙江机电职业技术学院”更名为“浙江机电职业技术大学”，与下一行（0045/浙江机电职业技术学院）为同一院校
0045,浙江机电职业技术学院,杭州,found,滨江校区6人间；海宁校区4人间,未知,独立卫浴（海宁西区新校区为干湿分离独立卫浴；滨江校区配独立卫生间）,有,官网列明滨江校区（杭州滨江高教园滨文路528号）与海宁校区（海宁长安镇青年路999号）；海宁校区西区占地230亩、建筑面积约8.9万平方米，设露天篮球场、羽毛球场等。,high,3,https://gaokao.eol.cn/yxdt/202305/t20230510_2403510.shtml,CSV中此行为2023年的旧校名“浙江机电职业技术学院”，学校现已更名为“浙江机电职业技术大学”；寝室内床型（上床下桌/上下铺）未查到；海宁校区新旧楼栋条件可能存在差异，旧楼栋未单独覆盖；滨江校区住宿费具体金额未查到
0046,浙江商业职业技术学院,杭州,partial,6人间,未知,未知,有,未采集到,low,3,https://m.dxsbb.com/news/17545.html,未查到校园环境（校区、占地、景观、图书馆等）任何描述；未查到卫浴是否独立（独卫/公共浴室）与床型；未查到校区名称与地址，无法确认上述宿舍属哪个校区；唯一来源为聚合站（大学生必备网，页面更新于2024-01-15）；学校官网 zjbc.edu.cn 抓取返回 HTTP 412 被拒，阳光高考院校库抓取返回 HTTP 412；住宿费标准未查到
